species,trophic,volume,family,order,total_ab,total_ab_survey1,total_ab_survey2,total_ab_survey3
B_Callibaetis,non_preded,12.5625,Baetidae,Ephemeroptera,14,3,5,6
C_Caenis,non_preded,17.52899255,Caenidae,Ephemeroptera,155,19,105,31
Ceratopogonidae,non_preded,0.653061224,Ceratopogonidae,Diptera,6,2,3,1
C_Chaoborus,non_preded,4.29154519,Chaoboridae,Diptera,68,0,4,64
C_Apedilum,non_preded,4.444444444,Chironomidae,Diptera,4,0,4,0
C_Asheum,non_preded,4.444444444,Chironomidae,Diptera,399,3,36,360
C_Beardius,non_preded,4.444444444,Chironomidae,Diptera,3,0,1,2
C_Caladomyia,non_preded,4.444444444,Chironomidae,Diptera,38,0,38,0
C_Chironomus,non_preded,4.444444444,Chironomidae,Diptera,534,24,340,170
C_Goeldchironomus,non_preded,4.444444444,Chironomidae,Diptera,1455,299,619,537
C_Parachironomus,non_preded,4.444444444,Chironomidae,Diptera,3,0,2,1
C_Polypedilum,non_preded,4.444444444,Chironomidae,Diptera,1436,20,875,541
C_Tanytarsini,non_preded,4.444444444,Chironomidae,Diptera,7214,10,925,6279
C_T_Ablabesmyia,non_preded,3.275672174,Chironomidae,Diptera,363,1,64,298
C_T_Labrundinia,non_preded,3.275672174,Chironomidae,Diptera,9,0,2,7
C_T_Larsia,non_preded,3.275672174,Chironomidae,Diptera,100,0,27,73
C_Oxyagrion,pred,8.735025,Coenagrionidae,Odonata,5,0,1,4
C_Tenagobia,non_preded,1.723712657,Corixidae,Hemiptera,3,0,3,0
C_Heterocorixa,non_preded,16.734375,Corixidae,Hemiptera,1,0,0,1
C_Culex,non_preded,2.418745276,Culicidae,Diptera,707,276,340,91
D_Rhantus,pred,387.5235,Dytiscidae,Coleoptera,14,2,7,5
D_Hydaticus,pred,210.15288,Dytiscidae,Coleoptera,1,0,1,0
D_Thermonectus,pred,0.507015278,Dytiscidae,Coleoptera,3,1,0,2
D_Derovatellus,pred,2.595435354,Dytiscidae,Coleoptera,2,0,2,0
G_Rheumatobates,pred,38,Gerridae,Hemiptera,1,0,1,0
H_Berosus,pred,5.017338692,Hydrophilidae,Coleoptera,4,1,0,3
H_Tropisternus,pred,231.376376,Hydrophilidae,Coleoptera,2,2,0,0
L_Erythrodiplax,pred,163.4775,Libellulidae,Odonata,465,0,95,370
L_Orthemis,pred,52.5,Libellulidae,Odonata,87,0,39,48
L_Pantala,pred,1054.38432,Libellulidae,Odonata,349,78,112,159
N_Ctenipocoris,pred,27.421875,Naucoridae,Hemiptera,1,0,0,1
N_Hydrocanthus,pred,3.138666009,Noteridae,Coleoptera,1,0,0,1
N_Buenoa,pred,34.428,Notonectidae,Hemiptera,139,3,61,75
N_Notonecta,pred,118.10502,Notonectidae,Hemiptera,6,1,4,1
P_Campsurus,non_preded,68.810112,Polymitarcyidae,Ephemeroptera,10,0,6,4
V_Microvelia,pred,3.43791,Veliidae,Hemiptera,1097,134,489,474
